Layer,Name,GEOID,Longitude,Latitude,"Uninsured rate (% of residents), 2015-2019","Homicide (crimes), 2017-2021","Major crime (crimes), 2016-2020","Violent crime (crimes), 2016-2020","Eviction rate (% of renter-occupied households), 2018","Severely rent-burdened (% of renter-occupied housing units), 2015-2019","Traffic crashes (number of crashes), 2021","High school graduation rate (% of residents), 2015-2019","College graduation rate (% of residents), 2015-2019","Unemployment rate (%), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Demographics, Non-Hispanic White (% of residents), 2016-2020","Population (residents), 2015-2019"
Census tract,Tract 7202,17031720200,-87.6660545,41.7130417,4.22052229,0.25,107.6,15.6,1.9,25.27173913,148,96.42488828,46.16706772,5.331939362,76349.25052,51983.55172,10.63044052,44.46419502,3791
Census tract,Tract 7203,17031720300,-87.6771439,41.7139198,2.367014508,0,63.6,6,0,44.44444444,175,97.88681948,59.67048711,3.664921466,122550.8413,49654.22019,7.431916518,56.46310433,3929
Census tract,Tract 7204,17031720400,-87.6866686,41.7099918,3.927648579,0,30.4,3,0,0,70,97.70817418,49.35064935,4.26716141,109102.0278,45612.89363,1.504149378,89.55470038,1935
Census tract,Tract 7205,17031720500,-87.6891011,41.7028353,1.519119958,0,34.8,4.8,,15.2173913,84,97.00598802,62.4251497,1.944444444,118446.9325,55299.34879,2.155625657,86.45720477,1909
Census tract,Tract 7206,17031720600,-87.677207,41.7027764,1.809954751,0,23,1.4,0,6.976744186,54,97.59933775,64.73509934,5.214368482,120883.3963,54180.2938,2.884615385,63.9362287,1768
Census tract,Tract 7207,17031720700,-87.6651388,41.7031071,5.230669266,0.5,70.6,12.4,0.16,11.3085622,94,92.91338583,41.68853893,5.141843972,71532.54083,46321.45167,5.5066797,25.45045045,3078
Census tract,Tract 7301,17031730100,-87.6384256,41.7251952,7.861400894,1.2,77.2,18,0,34.50704225,79,89.94535519,31.63934426,20.11217949,56350.51798,25403.07868,15.57528672,2.414414414,2703
Census tract,Tract 7302.01,17031730201,-87.6579016,41.7268625,6.860509312,1,321,86.8,1.42,45.88607595,189,89.27152318,19.97350993,15.56603774,28353.98957,22165.77457,27.00494109,1.597948313,5262
Census tract,Tract 7302.02,17031730202,-87.6485425,41.7264299,7.283396617,1.2,112.4,31.8,1.78,15.65836299,98,94.92656876,26.1682243,17.50972763,60612.47339,27556.33142,10.11391094,1.014729951,3098
Census tract,Tract 7303,17031730300,-87.6645667,41.7274693,5.98368087,0,34,7.2,2.99,36.56716418,101,83.88017118,13.55206847,13.12217195,50881.46818,23336.80463,16.68177697,0,1103
Census tract,Tract 7304,17031730400,-87.6526479,41.7178408,4.626937984,2.2,179.6,55.8,1.37,28.02197802,314,83.723229,24.71169687,7.684871919,85692.03381,32523.66273,15.47965116,4.621848739,4141
Census tract,Tract 7305,17031730500,-87.6381377,41.7142653,12.70966218,2,246.8,65.4,1.91,55.73248408,225,88.1922675,17.97283177,20.4137931,60839.46654,27505.41707,27.54547602,0.274788184,4233
Census tract,Tract 7306,17031730600,-87.6504857,41.7106003,0.851516764,1,111.8,27.4,1.06,33.95225464,196,92.28028504,33.57086302,15.0241213,45901.40828,21851.80275,29.13783928,0.971841515,3758
Census tract,Tract 7307,17031730700,-87.6500793,41.7030817,4.4599018,1.2,122.6,35.8,0.83,31.66666667,104,84.49905482,23.88153749,16.86526123,55111.60212,21795.58482,20.27972028,0.960735171,2444
Census tract,Tract 7401,17031740100,-87.6986083,41.6972859,1.849489796,0,42,4.2,1.37,26.71232877,90,96.82844786,30.75444498,8.287629494,98876.72912,41885.5389,11.2244898,83.82849426,3136
Census tract,Tract 7402,17031740200,-87.7127057,41.7047017,2.34939759,0,47.2,4.6,0,74.38016529,103,94.78731252,43.17678879,2.70096463,112069.9102,36232.98529,5.803349362,80.35904458,6640
Census tract,Tract 7403,17031740300,-87.7107233,41.6950694,0.484946454,0.25,28.4,3.2,1.09,0,107,98.29443447,43.29742669,2.838998879,134784.0747,50916.47179,2.202465144,87.17368962,4949
Census tract,Tract 7404,17031740400,-87.7193158,41.6872391,4.255319149,0,50.4,6,1.99,0,165,96.27760252,39.84227129,4.308576118,90228.71457,42953.67954,2.889137738,73.8963964,4465
Census tract,Tract 7501,17031750100,-87.6520283,41.6958345,7.240181672,1.6,131.4,35.2,1.5,9.476309227,142,89.76018272,29.42519985,19.89910314,45904.59043,25354.28576,18.83515896,7.77173913,3743
Census tract,Tract 7502,17031750200,-87.6714247,41.6956646,3.065794006,0.2,54.4,11.2,2.69,24.19354839,110,99.37977099,56.25,3.092783505,85452.31207,51475.46893,8.852910782,28.07407407,2903
Census tract,Tract 7503,17031750300,-87.6861726,41.6953911,1.741884402,0,38.4,2.8,1.14,15.34090909,89,98.34613113,58.7714117,1.898253607,106702.6891,50728.72513,1.346001584,89.21918351,2526
Census tract,Tract 7504,17031750400,-87.685071,41.6856566,4.23126615,0.25,37.6,3,0,23.79032258,109,96.71752196,51.45631068,7.635206787,103212.9346,51076.63985,5.23255814,60.21505376,3096
Census tract,Tract 7505,17031750500,-87.6712334,41.6846153,7.986523979,1.6,299.4,43.2,0.54,26.9541779,358,87.90450928,31.37931034,16.47109952,59134.89652,30141.29541,13.02621128,21.232493,5376
Census tract,Tract 7506,17031750600,-87.6520493,41.6886312,5.106257379,2,144.8,47.2,1.42,48.14814815,186,90.77922078,20.3030303,8.146487294,45556.6757,25282.1571,16.9716647,2.038404727,3406
Census tract,Tract 7608.01,17031760801,-87.8448495,41.9834867,15.28761062,0,53,5.4,0.39,17.35491071,87,93.11163895,60.77790974,5.888689408,72297.3168,37698.8943,10.50884956,45.81005587,4520
Census tract,Tract 7608.02,17031760802,-87.842626,41.9561257,7.481394438,0,17.6,2.2,0,37.22943723,160,89.17789131,32.55921969,2.315160568,57466.39082,37530.24051,11.08499804,88.47631242,2553
Census tract,Tract 7608.03,17031760803,-87.8441529,41.9753473,20.02784061,0.249865764,48.2,6,0.36,30.96385542,52.97154202,87.90202343,29.56336528,5.923753666,47645.22478,27938.18905,12.43953006,76.76222597,5788
Census tract,Tract 7706.02,17031770602,-87.9074973,42.011911,27.19350366,0,1,0,0.44,19.62719298,3,75.46047039,24.51119297,7.481026382,75420.06362,27338.88471,14.1379996,40.71443493,5198
Census tract,Tract 7707,17031770700,-87.8694195,41.9854352,5.345501956,0,15.4,0,0.17,15.94454073,52,92.31220657,31.16197183,4.754230459,60851.13441,39666.5218,8.431116906,75.38326763,2301
Census tract,Tract 7709.02,17031770902,-87.836184,41.9700657,9.94258084,0.000134236,,,0.83,8.888888889,1.028457979,86.67976424,25.65815324,2.387096774,65197.94707,33672.41776,4.684194621,85.78932011,3309
Census tract,Tract 8104,17031810400,-87.8294387,41.9875737,1.97044335,0,28,3,0,12.34042553,35,94.25257052,55.76061165,1.464435146,118068.2571,53321.11413,2.700237183,91.98245614,5481
Census tract,Tract 8233.04,17031823304,-87.7027707,41.681416,7.525994389,,,,0.94,30.03128259,8,90.19320127,22.20591832,11.49968494,54573.8193,29806.10927,8.781213825,49.75571316,6064
Census tract,Tract 8305,17031830500,-87.7193198,41.8291245,23.86567547,1,95,25.4,0.82,32.05479452,261,56.69818755,5.673758865,10.32980709,40219.15464,16517.46383,23.17354524,1.099744246,3901
Census tract,Tract 8306,17031830600,-87.6735738,42.001698,14.54891995,0,107.4,21.2,0.94,20.68273092,137,82.40024745,43.08691618,6.164164804,50094.41718,33964.11455,24.98941127,34.49116392,4733
